#Distance(A)    Macroscopic-Average    Planar-Average
 47.5412            -3.28627            -1.15861
 47.6419            -3.25902            -1.93225
 47.7426            -3.23412            -2.45086
 47.8433            -3.21340            -2.73307
 47.9441            -3.19846            -2.83766
 48.0448            -3.19041            -2.85449
 48.1455            -3.18987            -2.85470
 48.2462            -3.19687            -2.84193
 48.3470            -3.21089            -2.75450
 48.4477            -3.23085            -2.49845
 48.5484            -3.25523            -2.01415
 48.6491            -3.28220            -1.26742
 48.7498            -3.30985            -0.43922
 48.8506            -3.33639             0.12559
 48.9513            -3.36039             0.16805
 49.0520            -3.38082            -0.43852
 49.1527            -3.39714            -1.58762
 49.2535            -3.40925            -2.97600
 49.3542            -3.41744            -4.42787
 49.4549            -3.42230            -5.83374
 49.5556            -3.42466            -7.05723
 49.6563            -3.42542            -8.01141
 49.7571            -3.42544            -8.62453
 49.8578            -3.42531            -8.86387
 49.9585            -3.42529            -8.71003
 50.0592            -3.42520            -8.17708
 50.1600            -3.42453            -7.29286
 50.2607            -3.42246            -6.12179
 50.3614            -3.41808            -4.74603
 50.4621            -3.41054            -3.29249
 50.5629            -3.39918            -1.88179
 50.6636            -3.38365            -0.65443
 50.7643            -3.36395             0.09105
 50.8650            -3.34052             0.18553
 50.9657            -3.31428            -0.28202
 51.0665            -3.28659            -1.08120
 51.1672            -3.25916            -1.87074
 51.2679            -3.23391            -2.41299
 51.3686            -3.21269            -2.71330
 51.4694            -3.19712            -2.83057
 51.5701            -3.18837            -2.85099
 51.6708            -3.18710            -2.85183
 51.7715            -3.19340            -2.84137
 51.8723            -3.20678            -2.76476
 51.9730            -3.22621            -2.52595
 52.0737            -3.25022            -2.06441
 52.1744            -3.27699            -1.33774
 52.2751            -3.30460            -0.50318
 52.3759            -3.33125             0.09709
 52.4766            -3.35547             0.19243
 52.5773            -3.37619            -0.35699
 52.6780            -3.39284            -1.47020
 52.7788            -3.40527            -2.84761
 52.8795            -3.41374            -4.29746
 52.9802            -3.41882            -5.71332
 53.0809            -3.42132            -6.95671
 53.1816            -3.42215            -7.93768
 53.2824            -3.42216            -8.58246
 53.3831            -3.42199            -8.85548
 53.4838            -3.42191            -8.73602
 53.5845            -3.42181            -8.23522
 53.6853            -3.42118            -7.37985
 53.7860            -3.41922            -6.23059
 53.8867            -3.41505            -4.86864
 53.9874            -3.40778            -3.41586
 54.0882            -3.39674            -1.99784
 54.1889            -3.38154            -0.74363
 54.2896            -3.36215             0.05527
 54.3903            -3.33898             0.20615
 54.4910            -3.31291            -0.21944
 54.5918            -3.28525            -1.00213
 54.6925            -3.25769            -1.80573
 54.7932            -3.23213            -2.37185
 54.8939            -3.21046            -2.69079
 54.9947            -3.19431            -2.82142
 55.0954            -3.18491            -2.84618
 55.1961            -3.18294            -2.84762
 55.2968            -3.18856            -2.83917
 55.3976            -3.20132            -2.77248
 55.4983            -3.22026            -2.55065
 55.5990            -3.24392            -2.11126
 55.6997            -3.27050            -1.40595
 55.8004            -3.29809            -0.56783
 55.9012            -3.32487             0.06574
 56.0019            -3.34933             0.21292
 56.1026            -3.37037            -0.27885
 56.2033            -3.38737            -1.35345
 56.3041            -3.40014            -2.71858
 56.4048            -3.40892            -4.16561
 56.5055            -3.41425            -5.59036
 56.6062            -3.41693            -6.85299
 56.7069            -3.41785            -7.86024
 56.8077            -3.41789            -8.53639
 56.9084            -3.41770            -8.84300
 57.0091            -3.41760            -8.75800
 57.1098            -3.41750            -8.28967
 57.2106            -3.41692            -7.46359
 57.3113            -3.41510            -6.33686
 57.4120            -3.41113            -4.98963
 57.5127            -3.40415            -3.53879
 57.6135            -3.39344            -2.11417
 57.7142            -3.37859            -0.83574
 57.8149            -3.35955             0.01502
 57.9156            -3.33667             0.22284
 58.0163            -3.31078            -0.15908
 58.1171            -3.28318            -0.92268
 58.2178            -3.25552            -1.73812
 58.3185            -3.22970            -2.32837
 58.4192            -3.20760            -2.66633
 58.5200            -3.19090            -2.81104
 58.6207            -3.18085            -2.84078
 58.7214            -3.17820            -2.84299
 58.8221            -3.18315            -2.83610
 58.9228            -3.19531            -2.77853
 59.0236            -3.21374            -2.57316
 59.1243            -3.23704            -2.15544
 59.2250            -3.26343            -1.47236
 59.3257            -3.29100            -0.63356
 59.4265            -3.31791             0.03127
 59.5272            -3.34262             0.22899
 59.6279            -3.36398            -0.20470
 59.7286            -3.38134            -1.23821
 59.8294            -3.39448            -2.58937
 59.9301            -3.40359            -4.03304
 60.0308            -3.40918            -5.46539
 60.1315            -3.41205            -6.74669
 60.2322            -3.41309            -7.77950
 60.3330            -3.41317            -8.48690
 60.4337            -3.41298            -8.82684
 60.5344            -3.41287            -8.77650
 60.6351            -3.41278            -8.34075
 60.7359            -3.41227            -7.54457
 60.8366            -3.41059            -6.44092
 60.9373            -3.40685            -5.10945
 61.0380            -3.40017            -3.66156
 61.1388            -3.38981            -2.23117
 61.2395            -3.37533            -0.93087
 61.3402            -3.35665            -0.03019
 61.4409            -3.33408             0.23519
 61.5416            -3.30842            -0.10162
 61.6424            -3.28091            -0.84341
 61.7431            -3.25318            -1.66848
 61.8438            -3.22713            -2.28277
 61.9445            -3.20464            -2.64033
 62.0453            -3.18741            -2.79966
 62.1460            -3.17674            -2.83525
 62.2467            -3.17344            -2.83823
 62.3474            -3.17773            -2.83275
 62.4481            -3.18930            -2.78337
 62.5489            -3.20724            -2.59416
 62.6496            -3.23019            -2.19747
 62.7503            -3.25639            -1.53750
 62.8510            -3.28394            -0.70073
 62.9518            -3.31099            -0.00702
 63.0525            -3.33595             0.24004
 63.1532            -3.35765            -0.13554
 63.2539            -3.37539            -1.12540
 63.3547            -3.38890            -2.46093
 63.4554            -3.39836            -3.90053
 63.5561            -3.40424            -5.33939
 63.6568            -3.40733            -6.63864
 63.7575            -3.40850            -7.69649
 63.8583            -3.40864            -8.43477
 63.9590            -3.40847            -8.80794
 64.0597            -3.40835            -8.79226
 64.1604            -3.40828            -8.38937
 64.2612            -3.40785            -7.62340
 64.3619            -3.40632            -6.54357
 64.4626            -3.40281            -5.22859
 64.5633            -3.39642            -3.78492
 64.6640            -3.38641            -2.34928
 64.7648            -3.37232            -1.02947
 64.8655            -3.35401            -0.08080
 64.9662            -3.33177             0.24243
 65.0669            -3.30634            -0.04767
 65.1677            -3.27894            -0.76517
 65.2684            -3.25117            -1.59731
 65.3691            -3.22490            -2.23557
 65.4698            -3.20204            -2.61313
 65.5706            -3.18430            -2.78772
 65.6713            -3.17303            -2.82987
 65.7720            -3.16907            -2.83387
 65.8727            -3.17272            -2.82947
 65.9734            -3.18369            -2.78749
 66.0742            -3.20113            -2.61389
 66.1749            -3.22372            -2.23780
 66.2756            -3.24973            -1.60137
 66.3763            -3.27725            -0.76941
 66.4771            -3.30442            -0.04911
 66.5778            -3.32964             0.24582
 66.6785            -3.35167            -0.07161
 66.7792            -3.36979            -1.01558
 66.8800            -3.38369            -2.33345
 66.9807            -3.39350            -3.76850
 67.0814            -3.39969            -5.21256
 67.1821            -3.40300            -6.52914
 67.2828            -3.40431            -7.61130
 67.3836            -3.40453            -8.38025
 67.4843            -3.40438            -8.78638
